propertyId,price,localityName,carpetArea,coveredArea,floorNumber,totalFloorNumber,bedrooms,bathrooms,ReservedParking,transactionType,furnished,ageofcons
71181115,80000000,Viman Nagar,3162,4216,4,4,5,5,True,Resale,Furnished,5 to 10 years
74208793,11241000,Hinjewadi,1249,1662,4,21,3,3,True,New Property,Unfurnished,New Construction
73986311,3800000,Wagholi,459,639,7,12,1,1,True,Resale,Unfurnished,Less than 5 years
73773015,52440000,Magarpatta,3000,3800,4,4,4,4,True,New Property,Furnished,Less than 5 years
75162077,22000000,Baner,1250,1700,2,2,3,3,True,Resale,Semi-Furnished,Less than 5 years
76084143,6800000,Dhanori,780,1100,5,9,2,2,True,Resale,Unfurnished,New Construction
75658157,6500000,Warje,734,1020,1,9,2,2,True,Resale,Semi-Furnished,5 to 10 years
48337347,45500000,Kharadi,3071,4095,10,19,4,4,True,New Property,Semi-Furnished,Less than 5 years
74400799,10198645,Tathawade Pimpri Chinchwad,981,1373,12,27,3,3,True,New Property,Unfurnished,Under Construction
70265331,5405000,Phase 2 Hinjewadi Rajiv Gandhi Infotech Park,688,929,11,20,2,2,True,New Property,Unfurnished,Under Construction
75679247,2350000,Fursungi,428,594,2,5,1,1,True,Resale,Semi-Furnished,Less than 5 years
73281529,16399075,Tathawade Pimpri Chinchwad,1371,1925,17,32,3,3,True,New Property,Semi-Furnished,Under Construction
73486831,2500000,Chakan,438,610,1,11,1,1,False,Resale,Unfurnished,Less than 5 years
75947067,55889000,Viman Nagar,2644,3701,13,21,5,5,True,New Property,Unfurnished,Under Construction
73508741,22500000,Viman Nagar,1900,2200,4,8,4,4,True,Resale,Unfurnished,10 to 15 years
74837269,6000000,Kondhwa,750,1150,8,12,2,2,True,Resale,Unfurnished,15 to 20 years
75692605,9850000,Aundh,742,1030,2,7,2,2,True,Resale,Unfurnished,15 to 20 years
60365375,9000000,Baner,676,906,2,6,2,2,True,Resale,Unfurnished,Less than 5 years
46219119,1900000,Ranjangaon,445,620,5,5,1,1,True,Resale,Unfurnished,Less than 5 years
75577751,14500000,Amanora Park Town,1080,1208,5,11,2,2,True,Resale,Unfurnished,5 to 10 years
75665103,2700000,Chakan,613,852,6,6,2,2,False,Resale,Unfurnished,5 to 10 years
74903023,22500000,Baner,1330,1822,22,37,3,3,True,New Property,Unfurnished,Under Construction
75933165,6700000,Hadapsar,960,1120,5,5,3,3,True,Resale,Semi-Furnished,Less than 5 years
73774411,33228000,Kharadi,2300,2840,11,31,3,3,True,New Property,Furnished,Less than 5 years
75181979,11454500,NIBM Road,1056,1478,10,28,3,3,True,New Property,Semi-Furnished,Under Construction
75746521,18000000,Balewadi,1250,1650,16,20,3,3,True,Resale,Unfurnished,5 to 10 years
68146369,10000000,Baner,1124,1500,1,9,3,2,True,Resale,Unfurnished,Less than 5 years
75687865,4170000,Fursungi,608,844,8,12,2,2,True,Resale,Unfurnished,Less than 5 years
75691897,4900000,"Dapodi, Pimpri Chinchwad",451,626,3,5,1,1,True,Resale,Unfurnished,Less than 5 years
72278837,9500000,Rahatani,842,1137,1,4,2,2,True,Resale,Unfurnished,Less than 5 years
72991527,9000000,Baner,686,926,3,7,2,2,True,Resale,Unfurnished,New Construction
75657681,7400000,"Pimple Saudagar, Pimpri Chinchwad",665,924,3,7,2,2,True,Resale,Semi-Furnished,10 to 15 years
75658553,25000000,Baner,2628,3650,10,16,4,4,True,Resale,Semi-Furnished,5 to 10 years
75198967,17500000,Hadapsar,1185,1500,18,30,3,3,True,New Property,Unfurnished,Under Construction
74598267,4200000,Pisoli,640,1000,2,25,2,2,True,New Property,Unfurnished,New Construction
75709545,9600000,NIBM Road,821,1140,8,21,2,2,False,Resale,Semi-Furnished,Under Construction
29249355,8800000,Kharadi,744,1000,7,5,2,2,True,Resale,Semi-Furnished,Less than 5 years
75931049,2800000,Katraj,416,580,6,6,1,1,True,Resale,Unfurnished,5 to 10 years
75665171,9250000,Wadgaon Sheri,866,1203,3,4,2,2,True,Resale,Unfurnished,5 to 10 years
74185523,12000000,Hinjewadi,1025,1372,21,30,2,2,True,Resale,Unfurnished,Less than 5 years
68146541,20000000,Koregaon Park,1644,2200,3,6,3,3,True,Resale,Semi-Furnished,5 to 10 years
75206021,24000000,Wanowrie,1900,2500,4,7,4,4,True,Resale,Furnished,10 to 15 years
76071257,30000000,Magarpatta,2500,3483,10,11,4,4,True,Resale,Semi-Furnished,5 to 10 years
